timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-08-09T22:20	baseline	knowledge-distiller	-	82.8	baseline	-	3/3 independent full_test runs; runtime_warn=0; strongest gaps are explicit checkpoints and a dedicated counterexample blacklist	full_test
2026-08-09T22:26	bcd760a	knowledge-distiller	82.8	3-0 better	keep	检查点设计	3/3 paired judges preferred NEW; visible route, teaching-model, and write gates; no substantive regression	paired
2026-08-09T22:31	f3d117e	knowledge-distiller	（paired keep）	3-0 better	keep	反例与黑名单	3/3 paired judges preferred NEW; six concrete prohibitions with reasons and replacement paths; no regression	paired
2026-08-09T23:25	3e2eada	knowledge-distiller	（paired keep）	3-0 better	keep	全篇状态机重构	3/3 final micro-diff paired judges preferred NEW; route/authorization, deterministic vault manifest, transactional writes, reviewer identity fencing, cancellation ordering, and truthful delivery all improved; static checks passed	paired
2026-08-09T23:33	3e2eada	knowledge-distiller	-	86.1	measured	实测表现	3 independent full_test simulators: 82.4, 90.3, 85.6; mean 86.1; baseline mean 40.5; runtime_warn=0; all 3 dry_run, so triage-only and not a keep/revert signal	dry_run
2026-08-09T23:43	3e2eada	knowledge-distiller	-	93.3	measured	真实 fixture full_test	3 actual runtime tests: TCP 10.0, RAG 9.0, ambiguous links 9.0; mean 93.3; baseline mean 16.7; dry_run=0; checker passes on successful writes and collision gate blocks ambiguous delivery as intended	full_test
2026-08-10T00:03	864ef06	knowledge-distiller	（paired keep）	3-0 better	keep	canonical wikilink manifest	3/3 independent paired judges preferred NEW with clear margin; canonical manifest, realpath/symlink safety, exclusions, duplicate anchors, legal block IDs, inline/frontmatter/fence filtering, and structured manifest evidence now execute the SKILL.md contract; intentional regression risk is rejection of current-directory shortcut links	paired
2026-08-10T00:03	864ef06	knowledge-distiller	-	3/3 passed	measured	checker contract fixture	self-test, real knowledge-distiller vault CLI check, and temporary CLI success/failure fixture passed; no skill-body change was included in this artifact round	full_test
2026-08-10T00:31	862bd73	knowledge-distiller	（paired keep）	3-0 better	keep	review lifecycle contract	3/3 final paired judges preferred NEW; canonical state separation, stalled-versus-failed mapping, review-uncertain versus possibly-partial delivery, and SKILL.md §4A reachability are explicit; no material regression	paired
2026-08-10T00:31	862bd73	knowledge-distiller	-	3/3 passed	measured	eval-6 lifecycle full_test	3 independent real executions produced notes, truthful reports, and durable JSONL journals; each passed 10/10 lifecycle expectations, current checker re-run exit 0, dry_run=0; historical pre-contract log was not counted as evidence	full_test
2026-08-10T00:49	2430c16	knowledge-distiller	（paired keep）	3-0 better	keep	wikilink integrity reference	3/3 final paired judges preferred NEW with clear margin; mechanical/semantic gates, manifest identity, collision handling, anchor uniqueness, fail-closed scan states, checker JSON evidence, and normalized path behavior align with SKILL.md and the script	paired
2026-08-10T00:49	2430c16	knowledge-distiller	-	3/3 passed	measured	eval-7 wikilink full_test	3 independent real executions passed 9/9: duplicate basename probe exit 1, ambiguous links omitted, final note checker exit 0, semantic evidence kept separate, manual reviewer fallback truthful, dry_run=0	full_test
2026-08-10T01:06	ec0856e	knowledge-distiller	-	93.5	measured	9维绝对评测	3 independent structural judges median: d1=10,d2=10,d3=10,d4=8,d5=9,d6=10,d7=9,d9=10; 3 independent effect judges d8=9; weighted score=93.5/100; real full_test evidence mean=93.3% vs baseline=16.7%; runtime neutrality passes; main caveats are checkpoint confirmation explicitness, runtime-dependent interfaces, duplicated protocol state, and unavailable reviewer manual fallback; triage-only, no keep/revert signal	full_test
2026-08-10T13:06	58a6736	knowledge-distiller	（paired）	3-0 better	keep	writing-format architecture	3 independent final paired judges preferred NEW with clear margin; retained legacy format blocks are now classified with reader-model reasons; accuracy/clarity reviewer prompts, Mermaid state wording, and format_plan gates are aligned	paired
2026-08-10T13:06	c6d172b	knowledge-distiller	-	9	measured	writing-format full_test	3 independent effect judges: with-skill 9/10 vs baseline 7/10, 3/3 preferred NEW; real isolated write/read-back/checker gates passed; with-skill output had 2 purposeful bold emphases, 3 typed callouts, a language-tagged code block, and a role-aligned comparison table; reviewer provider unavailable was truthfully manual-fallback reported; dry_run=0	full_test
2026-08-10T13:15	48413e0	knowledge-distiller	-	1/1 passed	measured	final HEAD writing-format full_test	Final HEAD real isolated write/read-back/checker gates passed; format_plan recorded purposeful bold, warning/example/info callouts, language-tagged code, same-axis comparison table, and evidence-only external links; both provider reviewer axes were unknown/unavailable and the report truthfully used manual fallback; dry_run=0	full_test
2026-08-10T14:53	241ad5a	knowledge-distiller	（parent 5c25881）	3-0 better	keep	机械门禁整体重构收口	3 completed independent current-tree paired judges preferred NEW; 8/8 checker self-tests and all specified adversarial probes passed expected fail-closed behavior, including close-only journal, nonterminal clean, cutoff, hash mismatch, write_readback, failed-journal fallback, creation-probe, and unknown-gate cases; creation-probe historical absence remains an explicit evidence limitation	paired
2026-08-10T14:53	241ad5a	knowledge-distiller	-	1/1 passed	measured	mechanical-gates final isolated full_test	8/8 self-tests; real isolated note check 4/4; closed 5-event journal with cutoff_order=4; hash-bound delivery report passed with 7/7 hard-gate statuses and both clean axes; dry_run=0; real_vault_mutation=0	full_test
2026-08-10T16:30	94b7900	knowledge-distiller	（paired）	3-0 better	keep	Phase 7 review protocol architecture	3 independent paired judges preferred NEW; review-lifecycle.md remains the authoritative protocol while SKILL.md directly requires two parallel subagents, waits for both, and falls back only on real capability or dispatch failure; no regression	paired
